name,price,odometer,is_dealer,link,condition,fuel,paint color,title status,transmission,type,cylinders,drive,location,VIN,est. monthly pmt,year,age,make,model,City (L/100 km),Highway (L/100 km),Combined (L/100 km),market,km_per_year,usage_ratio,usage_category,annual_fuel_cost
2015 Ford Escape SE 4WD 1.6L EcoBoost,7500,186000.0,0,https://www.craigslist.org/view/d/surrey-2015-ford-escape-se-4wd-16l/waWk999Xrx8ktuXRWN1Ui2,good,gas,white,clean,automatic,SUV,4.0,4wd,Surrey,1FMCU9GX1FUB14773,,2015.0,11.0,Ford,Escape,10.9,8.0,9.5,American,16909.1,1.13,Average,2565.0
Mercedes GL 350 Grey Diesel 2011,3900,170000.0,0,https://www.craigslist.org/view/d/vancouver-mercedes-gl-350-grey-diesel/xugYv73stLUhMBiFSdfPbD,fair,diesel,grey,clean,automatic,SUV,6.0,4wd,Vancouver,4JGBF2FE2BA663133,,2011.0,15.0,Mercedes-Benz,,,,,European,11333.3,0.76,Below Average,
2008 Tahoe 4x4 hybrid,5200,246.0,0,https://www.craigslist.org/view/d/surrey-2008-tahoe-4x4-hybrid/bHmCF7x71pyh2zaf1CKjd2,like new,hybrid,grey,clean,automatic,SUV,8.0,4wd,Surrey,,,2008.0,18.0,,,,,,,13.7,0.0,Ultra Low/Weekend,
2021 VW JETTA HIGH LINE PERFECT CONDITION,18500,81000.0,0,https://www.craigslist.org/view/d/burnaby-2021-vw-jetta-high-line-perfect/st3GevoCXju3naAfMNQ7nG,excellent,gas,white,clean,automatic,sedan,4.0,fwd,Burnaby,,,2021.0,5.0,Volkswagen,Jetta,7.95,5.9,7.0,European,16200.0,1.08,Average,1890.0
2021 VW JETTA HIGH LINE PERFECT CONDITION,18500,81000.0,0,https://www.craigslist.org/view/d/burnaby-2021-vw-jetta-high-line-perfect/mzGfDbAjGe8cGdAYnkbVAz,excellent,gas,white,clean,automatic,sedan,4.0,fwd,Burnaby,,,2021.0,5.0,Volkswagen,Jetta,7.95,5.9,7.0,European,16200.0,1.08,Average,1890.0
"2005 Honda Civic, Only 194k original kms",2800,194000.0,0,https://www.craigslist.org/view/d/maple-ridge-northwest-2005-honda-civic/3u4cgTGrbXLWpKpCDG9hT3,good,gas,black,clean,automatic,sedan,4.0,fwd,Maple Ridge,,,2005.0,21.0,Honda,Civic,8.7,6.8,7.9,Japanese,9238.1,0.62,Below Average,2133.0
"2003 VW Volkswagen Passat W8 Wagon, 4 Motion",8950,140067.0,0,https://www.craigslist.org/view/d/langley-2003-vw-volkswagen-passat-w8/q3fvcTT18BZ17GN65xKY76,excellent,gas,grey,clean,automatic,wagon,8.0,4wd,Langley,,,2003.0,23.0,Volkswagen,Passat,15.4,10.9,13.4,European,6089.9,0.41,Ultra Low/Weekend,3618.0
1999 Honda Civic SE,2999,265000.0,0,https://www.craigslist.org/view/d/burnaby-1999-honda-civic-se/8fZKaBefxr9WfuCcPpp9YP,,gas,,clean,automatic,,,,Burnaby,,,1999.0,27.0,Honda,Civic,10.6,8.1,9.5,Japanese,9814.8,0.65,Below Average,2565.0
2003 Nissan Altima,3400,184000.0,0,https://www.craigslist.org/view/d/mission-east-2003-nissan-altima/mY5Wie8y9UHGB4FNiDnfuG,excellent,gas,grey,clean,automatic,sedan,4.0,,Mission,,,2003.0,23.0,Nissan,Altima,11.65,8.75,10.35,Japanese,8000.0,0.53,Below Average,2794.0
1979 Dodge -Rebuilt 360 engine,1500,1000.0,0,https://www.craigslist.org/view/d/surrey-1979-dodge-rebuilt-360-engine/49wuxdTFok2CrdW1oAgpRe,,gas,,parts only,other,,,,Surrey,,,1979.0,47.0,Dodge,,,,,American,21.3,0.0,Ultra Low/Weekend,
"2008 Lexus RX 350 AWD – 210,000 km",7800,210000.0,0,https://www.craigslist.org/view/d/burnaby-2008-lexus-rx-350-awd-km/drwokCGyf79Lu6cGbaaaGU,good,gas,black,clean,automatic,SUV,,4wd,Burnaby,,,2008.0,18.0,Lexus,RX 350,13.9,10.6,12.4,Japanese,11666.7,0.78,Below Average,3348.0
2012 Nissan altima,1950,160000.0,0,https://www.craigslist.org/view/d/burnaby-2012-nissan-altima/5ecNcPhqWtUKMFzid3aYf2,,gas,,clean,automatic,sedan,,,Burnaby,,,2012.0,14.0,Nissan,Altima,10.3,7.5,9.1,Japanese,11428.6,0.76,Below Average,2457.0
2008 Chevy cobolt,8000,57402.0,0,https://www.craigslist.org/view/d/vancouver-2008-chevy-cobolt/mDGuYggPUZ7bUUzgLfTcRV,like new,gas,,clean,automatic,sedan,,,Vancouver,,,2008.0,18.0,Chevrolet,,,,,American,3189.0,0.21,Ultra Low/Weekend,
